"出願番号/登録番号/国際登録番号","商標(検索用)","称呼基準","称呼(参考情報)","区分","出願人/権利者/名義人","出願日/国際登録日(事後指定日)","登録日","ステータス","文献URL"
"登録1792034","無印良品","","ムジルシリョーヒン,ムインリョーヒン,ムイン,ムジルシ","04,05,06,08,10,11,14,16,18,19,20,21,24,26,27,28","株式会社良品計画","1982/11/29","1985/07/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1982-105401/40/ja"
"登録1862482","￠ＩＤＥＥ","","イデ","03,06,08,10,14,18,21,25,26","株式会社良品計画","1984/05/10","1986/05/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1984-046859/40/ja"
"登録1937235","無印良品","","ムジルシリョウヒン,ムインリョウヒン","34","株式会社良品計画","1984/02/04","1987/02/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1984-009022/40/ja"
"登録2141882","ＣＡＢＩＮ","","キャビン,ケビン,カビン","16,18,21,24,27","株式会社ファーストリテイリング","1987/01/29","1989/05/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1987-007374/40/ja"
"登録2178740","ＦＬＡＳＨ　ＥＥＰＲＯＭ","","フラッシュイイイイピイロム,フラッシュ,イイイイピイ,フラシープ","09","キオクシア株式会社","1986/10/22","1989/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1986-111394/40/ja"
"登録2178741","ＦＬＡＳＨ　Ｅ２ＰＲＯＭ","","フラッシュイイツーピイロム,フラッシュ,ピイロム,イイツウピイロム","09","キオクシア株式会社","1986/10/22","1989/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1986-111395/40/ja"
"登録2566787","Ｕｎｉｑｕｅ　Ｃｌｏｔｈｉｎｇ　Ｗａｒｅｈｏｕｓｅ","","ユニーククロジングウエアハウス,ウエアハウス","24,25","株式会社フア－ストリテイリング","1983/05/25","1993/08/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1983-048297/40/ja"
"登録2625072","ＵＮＩＱＵＥ　ＣＬＯＴＨＩＮＧ＼ユニ－ククロ－ジング","","ユニーククロージング","25","株式会社ファーストリテイリング","1987/04/28","1994/02/28","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1987-047756/40/ja"
"登録3098999","銀鱗荘","","ギンリンソー,ギンリン","42","株式会社ニトリホールディングス","1992/09/25","1995/11/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-229271/40/ja"
"登録3131094","無印良品","","ムジルシリョウヒン","33","株式会社良品計画","1993/06/20","1996/03/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067632/40/ja"
"登録3161321","無印良品","","ムジルシリョウヒン","23","株式会社良品計画","1993/06/29","1996/05/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067622/40/ja"
"登録3186362","無印良品","","ムジルシリョウヒン","12","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067612/40/ja"
"登録3186363","無印良品","","ムジルシリョウヒン","22","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067621/40/ja"
"登録3186364","無印良品","","ムジルシリョウヒン","28","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067627/40/ja"
"登録3192789","無印良品","","ムジルシリョーヒン","35","株式会社良品計画","1992/09/30","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-274842/40/ja"
"登録3192981","無印良品","","ムジルシリョウヒン","02","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067602/40/ja"
"登録3192982","無印良品","","ムジルシリョウヒン","04","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067604/40/ja"
"登録3192983","無印良品","","ムジルシリョウヒン","32","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067631/40/ja"
"登録3204551","無印良品","","ムジルシリョウヒン","15","株式会社良品計画","1993/06/29","1996/09/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067614/40/ja"
"登録3211947","無印良品","","ムジルシリョウヒン","03","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067603/40/ja"
"登録3211948","無印良品","","ムジルシリョウヒン","14","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067613/40/ja"
"登録3211949","無印良品","","ムジルシリョウヒン","18","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067617/40/ja"
"登録3211950","無印良品","","ムジルシリョウヒン","24","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067623/40/ja"
"登録3211951","無印良品","","ムジルシリョウヒン","25","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067624/40/ja"
"登録3211951/01","無印良品","","ムジルシリョーヒン","35","株式会社良品計画","2007/06/28","2009/03/13","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2007-068851/40/ja"
"登録3214646","ＵＮＩＱＵＥ　ＣＬＯＴＨＩＮＧ　ＷＡＲＥＨＯＵＳＥ","","ユニーククロージングウエアハウス,クロージングウエアハウス,ユニーククロージング,ユニーク","18","株式会社ファ―ストリテイリング","1994/01/26","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1994-007268/40/ja"
"登録3217440","無印良品","","ムジルシリョウヒン","08","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067608/40/ja"
"登録3217441","無印良品","","ムジルシリョウヒン","11","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067611/40/ja"
"登録3217442","無印良品","","ムジルシリョウヒン","17","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067616/40/ja"
"登録3217443","無印良品","","ムジルシリョウヒン","26","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067625/40/ja"
"登録3217444","無印良品","","ムジルシリョウヒン","27","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067626/40/ja"
"登録3217445","無印良品","","ムジルシリョウヒン","29","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067628/40/ja"
"登録3220722","ＵＮＩＱＵＥ　ＣＬＯＴＨＩＮＧ　ＷＡＲＥＨＯＵＳＥ","","ユニーククロージングウエアハウス,クロージングウエアハウス,ユニーククロージング,ユニーク","16","株式会社ファ―ストリテイリング","1994/01/26","1996/11/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1994-007267/40/ja"
"登録3230137","無印良品","","ムジルシリョウヒン","01","株式会社良品計画","1993/06/29","1996/11/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067601/40/ja"
"登録3230138","無印良品","","ムジルシリョウヒン","06","株式会社良品計画","1993/06/29","1996/11/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067606/40/ja"
"登録3230139","無印良品","","ムジルシリョウヒン","07","株式会社良品計画","1993/06/29","1996/11/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067607/40/ja"
"登録3230140","無印良品","","ムジルシリョウヒン","16","株式会社良品計画","1993/06/29","1996/11/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067615/40/ja"
"登録3230819","ＲＯＣＫ′Ｎ′ＲＯＬＬＣＡＦＥ＼ロックン　ロール　カフェ","","ロックンロールカフェ","25","株式会社ファーストリテイリング","1993/12/27","1996/11/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-131636/40/ja"
"登録3232090","無印良品","","ムジルシリョーヒン","36","株式会社良品計画","1992/09/30","1996/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-274843/40/ja"
"登録3232161","無印良品","","ムジルシリョウヒン","09","株式会社良品計画","1993/06/29","1996/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067609/40/ja"
"登録3234928","無印良品","","ムジルシリョウヒン","20","株式会社良品計画","1993/06/29","1996/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067619/40/ja"
"登録3241368","無印良品","","ムジルシリョウヒン","34","株式会社良品計画","1993/06/29","1996/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067633/40/ja"
"登録3247784","無印良品","","ムジルシリョウヒン,ムインリョウヒン","21","株式会社良品計画","1993/06/29","1997/01/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067620/40/ja"
"登録3250518","ＵＮＩＱＬＯ","","ユニクロ,クロ,キュウエルオオ","16","株式会社ファーストリテイリング","1994/01/26","1997/01/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1994-007264/40/ja"
"登録3260738","無印良品","","ムジルシリョーヒン","39","株式会社良品計画","1992/09/30","1997/02/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-274845/40/ja"
"登録3268168","","","","16","株式会社ファーストリテイリング","1994/01/26","1997/03/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1994-007276/40/ja"
"登録3286919","無印良品","","ムジルシリョウヒン","19","株式会社良品計画","1993/06/29","1997/04/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067618/40/ja"
"登録3286920","無印良品","","ムジルシリョウヒン","31","株式会社良品計画","1993/06/29","1997/04/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067630/40/ja"
"登録3287380","ＵＮＩＱＬＯ","","ユニクロ,クロ,キュウエルオオ","18","株式会社ファーストリテイリング","1994/01/26","1997/04/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1994-007265/40/ja"
"登録3288678","無印良品","","ムジルシリョウヒン","05","株式会社良品計画","1993/06/29","1997/04/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067605/40/ja"
"登録3290507","ＵＮＩＱＵＥ＼ＣＬＯＴＨＩＮＧ＼ＷＡＲＥＨＯＵＳＥ","","ユニーククロシングウエアハウス","25","株式会社ファーストリテイリング","1993/12/27","1997/04/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-131635/40/ja"
"登録3300829","","","","25","株式会社ファーストリテイリング","1993/07/12","1997/05/09","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-074183/40/ja"
"登録3302271","ＵＮＩＱＵＥ　ＣＬＯＴＨＩＮＧ　ＷＡＲＥＨＯＵＳＥ","","ユニーククロージングウエアハウス","25","株式会社ファーストリテイリング","1994/01/26","1997/05/09","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1994-007269/40/ja"
"登録3302272","","","","25","株式会社ファーストリテイリング","1994/01/26","1997/05/09","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1994-007278/40/ja"
"登録3323471","無印良品","","ムジルシリョウヒン","30","株式会社良品計画","1993/06/29","1997/06/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067629/40/ja"
"登録3355303","無印良品","","ムジルシリョウヒン","10","株式会社良品計画","1993/06/29","1997/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067610/40/ja"
"登録4009491","ＣＡＢＩＮ＼キャビン","","キャビン","25","株式会社ファーストリテイリング","1995/05/10","1997/06/06","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-045160/40/ja"
"登録4013691","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","01","株式会社良品計画","1995/12/15","1997/06/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130201/40/ja"
"登録4013692","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","03","株式会社良品計画","1995/12/15","1997/06/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130203/40/ja"
"登録4013693","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","14","株式会社良品計画","1995/12/15","1997/06/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130213/40/ja"
"登録4013694","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","26","株式会社良品計画","1995/12/15","1997/06/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130225/40/ja"
"登録4026070","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","04","株式会社良品計画","1995/12/15","1997/07/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130204/40/ja"
"登録4026071","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","12","株式会社良品計画","1995/12/15","1997/07/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130212/40/ja"
"登録4026072","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","15","株式会社良品計画","1995/12/15","1997/07/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130214/40/ja"
"登録4026073","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","22","株式会社良品計画","1995/12/15","1997/07/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130221/40/ja"
"登録4026074","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","25","株式会社良品計画","1995/12/15","1997/07/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130224/40/ja"
"登録4026075","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","34","株式会社良品計画","1995/12/15","1997/07/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130233/40/ja"
"登録4035695","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","18","株式会社良品計画","1995/12/15","1997/08/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130217/40/ja"
"登録4035696","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","23","株式会社良品計画","1995/12/15","1997/08/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130222/40/ja"
"登録4035697","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","24","株式会社良品計画","1995/12/15","1997/08/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130223/40/ja"
"登録4039366","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","02","株式会社良品計画","1995/12/15","1997/08/08","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130202/40/ja"
"登録4052749","無印良品","","ムジルシリョーヒン","42","株式会社　良品計画","1992/09/30","1997/09/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-274841/40/ja"
"登録4052750","無印良品","","ムジルシリョーヒン","41","株式会社　良品計画","1992/09/30","1997/09/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-274846/40/ja"
"登録4053070","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","07","株式会社良品計画","1995/12/15","1997/09/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130207/40/ja"
"登録4053071","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","27","株式会社良品計画","1995/12/15","1997/09/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130226/40/ja"
"登録4053072","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","31","株式会社良品計画","1995/12/15","1997/09/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130230/40/ja"
"登録4062520","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","19","株式会社良品計画","1995/12/15","1997/10/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130218/40/ja"
"登録4062521","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","28","株式会社良品計画","1995/12/15","1997/10/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130227/40/ja"
"登録4062522","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","37","株式会社良品計画","1995/12/15","1997/10/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130236/40/ja"
"登録4071942","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","06","株式会社良品計画","1995/12/15","1997/10/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130206/40/ja"
"登録4071943","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","10","株式会社良品計画","1995/12/15","1997/10/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130210/40/ja"
"登録4071944","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","21","株式会社良品計画","1995/12/15","1997/10/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130220/40/ja"
"登録4071945","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","33","株式会社良品計画","1995/12/15","1997/10/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130232/40/ja"
"登録4071946","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","40","株式会社良品計画","1995/12/15","1997/10/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130239/40/ja"
"登録4076439","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","09","株式会社良品計画","1995/12/15","1997/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130209/40/ja"
"登録4076440","無印良品＼ＭＵＪＩ","","ムジルシリョーヒン,ムジ","29","株式会社良品計画","1995/12/15","1997/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130228/40/ja"
"登録4076441","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","30","株式会社良品計画","1995/12/15","1997/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130229/40/ja"
"登録4076442","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","35","株式会社良品計画","1995/12/15","1997/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130234/40/ja"
"登録4076541","良品計画","","リョーヒンケイカク","24","株式会社良品計画","1996/04/26","1997/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1996-046503/40/ja"
"登録4076542","良品計画","","リョーヒンケイカク","25","株式会社良品計画","1996/04/26","1997/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1996-046505/40/ja"
"登録4083402","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","16","株式会社良品計画","1995/12/15","1997/11/21","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130215/40/ja"
"登録4083403","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","32","株式会社良品計画","1995/12/15","1997/11/21","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130231/40/ja"
"登録4083404","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","41","株式会社良品計画","1995/12/15","1997/11/21","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130240/40/ja"
"登録4083445","良品計画","","リョーヒンケイカク","12","株式会社良品計画","1996/04/26","1997/11/21","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1996-046501/40/ja"
"登録4088217","無印良品","","ムジルシリョウヒン","42","株式会社良品計画","1993/06/29","1997/12/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067634/40/ja"
"登録4093866","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","17","株式会社良品計画","1995/12/15","1997/12/19","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130216/40/ja"
"登録4097543","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","05","株式会社良品計画","1995/12/15","1997/12/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130205/40/ja"
"登録4097544","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","38","株式会社良品計画","1995/12/15","1997/12/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130237/40/ja"
"登録4102137","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","39","株式会社良品計画","1995/12/15","1998/01/16","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130238/40/ja"
"登録4109951","無印良品","","ムジルシリョーヒン,ムインリョーヒン","41","株式会社良品計画","1995/07/28","1998/02/06","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-077667/40/ja"
"登録4110003","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","36","株式会社良品計画","1995/12/15","1998/02/06","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130235/40/ja"
"登録4120974","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","42","株式会社良品計画","1995/12/15","1998/03/06","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130241/40/ja"
"登録4125718","良品計画","","リョーヒンケイカク","30","株式会社良品計画","1996/04/26","1998/03/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1996-046506/40/ja"
"登録4131569","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","11","株式会社良品計画","1995/12/15","1998/04/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130211/40/ja"
"登録4131626","良品計画","","リョーヒンケイカク","16","株式会社良品計画","1996/04/26","1998/04/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1996-046502/40/ja"
"登録4131627","良品計画","","リョーヒンケイカク","21","株式会社良品計画","1996/04/26","1998/04/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1996-046504/40/ja"
"登録4145155","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","20","株式会社良品計画","1995/12/15","1998/05/15","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130219/40/ja"
"登録4148164","無印良品＼ＭＵＪＩ","","ムジルシリョーヒンムジ,ムジルシリョーヒン,ムジ","08","株式会社良品計画","1995/12/15","1998/05/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1995-130208/40/ja"
"登録4154983","良品計画","","リョーヒンケイカク","32","株式会社良品計画","1996/04/26","1998/06/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1996-046507/40/ja"
"登録4155155","無印良品","","ムジルシリョーヒン","25","株式会社良品計画","1997/02/28","1998/06/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1997-021756/40/ja"
"登録4155164","無印良品","","ムジルシリョーヒン","42","株式会社良品計画","1997/09/18","1998/06/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1997-160245/40/ja"
"登録4196019","ＵＮＩ－ＱＬＯ","","ユニキュウエルオオ,ユニクロ","25","株式会社　ファーストリテイリング","1992/10/29","1998/10/09","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-307963/40/ja"
"登録4219287","無印良品","","ムジルシリョーヒン","30","株式会社良品計画","1997/02/28","1998/12/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1997-021757/40/ja"
"登録4327250","ＩＴ’Ｓ　ＹＯＵＲ　ＳＴＹＬＥ","","イッツユアスタイル,イッツユア","14,18,24,25","株式会社ファーストリテイリング","1998/09/30","1999/10/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1998-082987/40/ja"
"登録4342481","ＵＮＩＱＬＯＫＩＤＳ","","ユニクロキッズ,ユニクロ","14,18,24,25","株式会社ファーストリテイリング","1998/07/17","1999/12/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1998-060537/40/ja"
"登録4342482","ＵＮＩＱＬＯ　ＫＩＤＳ","","ユニクロキッズ,ユニクロ","14,18,24,25","株式会社ファーストリテイリング","1998/07/17","1999/12/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1998-060538/40/ja"
"登録4372553","ＵＮＩＱＬＯ","","ユニクロ,ユニキュウエルオオ,ユニキューエルオー","09","株式会社ファーストリテイリング","1999/03/26","2000/03/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1999-026056/40/ja"
