"出願番号/登録番号/国際登録番号","商標(検索用)","称呼基準","称呼(参考情報)","区分","出願人/権利者/名義人","出願日/国際登録日(事後指定日)","登録日","ステータス","文献URL"
"登録7030832","Ｎウォーム極暖","","エヌウオームゴクダン,エヌウオームキョクダン,エヌウオーム,ゴクダン,キョクダン","12,18,20,24,25,27,28,35","株式会社ニトリホールディングス","2025/08/04","2026/03/27","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-088779/40/ja"
"登録7030833","Ｎウォームゴクダン","","エヌウオームゴクダン,エヌウオーム,ゴクダン","12,18,20,24,25,27,28,35","株式会社ニトリホールディングス","2025/08/04","2026/03/27","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-088780/40/ja"
"登録7036408","Ｎスリープ","","エヌスリープ","20","株式会社ニトリホールディングス","2025/08/07","2026/04/15","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-090445/40/ja"
"登録7036409","Ｎスリーププラスエア","","エヌスリーププラスエア,エヌスリープ,プラスエア","20","株式会社ニトリホールディングス","2025/08/07","2026/04/15","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-090446/40/ja"
"登録7036410","Ｎカラボ","","エヌカラボ,カラボ","20","株式会社ニトリホールディングス","2025/08/07","2026/04/15","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-090448/40/ja"
"登録7036411","Ｎブレスプラスエア","","エヌブレスプラスエア,ブレスプラスエア","20,24","株式会社ニトリホールディングス","2025/08/07","2026/04/15","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-090449/40/ja"
"登録7037117","夢ふわ","","ユメフワ","24","株式会社ニトリホールディングス","2025/09/30","2026/04/17","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-112247/40/ja"
"登録7037118","さらリラ","","サラリラ","24","株式会社ニトリホールディングス","2025/09/30","2026/04/17","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-112248/40/ja"
"登録7039126","ユニ＼クロ∞ＵＮＩ＼ＱＬＯ","","ユニクロ","08","株式会社ファーストリテイリング","2025/08/21","2026/04/23","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-095925/40/ja"
"登録7039566","§ニトリの接触冷感∞Ｎ＼ＣＯＯＬ＼極冷","","ニトリノセッショクレーカン,ニトリノ,ニトリ,セッショクレーカン,エヌクールゴクレー,エヌクールキョクレー,エヌクール,エヌ,ゴクレー,キョクレー","12,18,20,24,25,27,28,35","株式会社ニトリホールディングス","2025/08/26","2026/04/24","存続-登録-異議申立のための公告","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-097585/40/ja"
